order_book_id,date,volume,prev_close,close,open,low,high,total_turnover
000002.XSHG,2014-10-17,21166753100.0,2467.115,2451.039,2463.23,2421.324,2471.417,179137546974.0
000002.XSHG,2014-10-20,15953032900.0,2451.039,2467.345,2456.156,2450.26,2468.186,141608679237.0
000002.XSHG,2014-10-21,16829134900.0,2467.345,2449.499,2465.573,2447.294,2472.5460000000007,146524960143.0
000002.XSHG,2014-10-22,15236040200.0,2449.499,2435.748,2449.047,2433.72,2462.579,138366766876.0
000002.XSHG,2014-10-23,16230286800.0,2435.748,2410.47,2431.304,2405.132,2439.291,140434213322.0
000002.XSHG,2014-10-24,13173825500.0,2410.47,2410.306,2411.174,2404.397,2423.506,114137504028.0
000002.XSHG,2014-10-27,12987288200.0,2410.306,2397.92,2401.148,2386.78,2401.285,113204353869.0
000002.XSHG,2014-10-28,17809867600.0,2397.92,2447.633,2401.69,2401.69,2448.056,157923813461.0
000002.XSHG,2014-10-29,26504351300.0,2447.633,2484.539,2453.786,2449.569,2493.56,224803184541.0
000002.XSHG,2014-10-30,29413949000.0,2484.539,2503.502,2483.34,2477.072,2510.003,226350320113.0
000002.XSHG,2014-10-31,32534430200.0,2503.502,2534.065,2505.72,2496.614,2537.676,249696798241.0
000002.XSHG,2014-11-03,29816621300.0,2534.065,2544.318,2539.385,2531.881,2551.424,226899073200.0
000002.XSHG,2014-11-04,30849873100.0,2544.318,2545.044,2542.457000000001,2530.859,2549.78,226274961951.0
000002.XSHG,2014-11-05,26313845300.0,2545.044,2533.105,2546.601,2529.132,2548.893,201659392989.0
000002.XSHG,2014-11-06,22159504300.0,2533.105,2540.085,2533.505,2514.737,2541.174,179435678942.0
000002.XSHG,2014-11-07,29077627000.0,2540.085,2532.032,2542.194,2520.743,2570.035,243939595371.0
000002.XSHG,2014-11-10,30017082500.0,2532.032,2590.333,2551.417,2542.554,2590.84,244977203802.0
000002.XSHG,2014-11-11,41117597000.0,2590.333,2586.224,2600.808,2561.328,2627.088,330890266258.0
000002.XSHG,2014-11-12,25228483500.0,2586.224,2612.18,2570.374,2560.099,2612.653,215327383971.0
000002.XSHG,2014-11-13,29450406500.0,2612.18,2602.896,2612.753,2588.036,2626.173,258001255665.0
000002.XSHG,2014-11-14,22013062000.0,2602.896,2595.8,2594.883,2572.948,2598.126,191630849680.0
000002.XSHG,2014-11-17,21525683300.0,2595.8,2590.627,2625.283,2588.991,2627.264,199008144940.0
000002.XSHG,2014-11-18,20077493900.0,2590.627,2572.085,2590.807,2565.198,2593.814,174505074625.0
000002.XSHG,2014-11-19,18597112600.0,2572.085,2566.399,2567.664,2557.699,2577.428,166929856031.0
000002.XSHG,2014-11-20,16523864700.0,2566.399,2568.141,2558.2960000000007,2552.202,2574.129,150666723963.0
